setting,rep,gamma,method,changept
"Transition: Homo
Reward: PC",36,0.95,Normalised,50
"Transition: Homo
Reward: PC",36,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",36,0.95,Integral,50
"Transition: Homo
Reward: PC",37,0.95,Normalised,70
"Transition: Homo
Reward: PC",37,0.95,Unnormalised,70
"Transition: Homo
Reward: PC",37,0.95,Integral,70
"Transition: Homo
Reward: PC",38,0.95,Normalised,50
"Transition: Homo
Reward: PC",38,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",38,0.95,Integral,50
"Transition: Homo
Reward: PC",39,0.95,Normalised,50
"Transition: Homo
Reward: PC",39,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",39,0.95,Integral,50
"Transition: Homo
Reward: PC",40,0.95,Normalised,50
"Transition: Homo
Reward: PC",40,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",40,0.95,Integral,50
"Transition: Homo
Reward: PC",41,0.95,Normalised,50
"Transition: Homo
Reward: PC",41,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",41,0.95,Integral,50
"Transition: Homo
Reward: PC",42,0.95,Normalised,50
"Transition: Homo
Reward: PC",42,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",42,0.95,Integral,50
"Transition: Homo
Reward: PC",43,0.95,Normalised,50
"Transition: Homo
Reward: PC",43,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",43,0.95,Integral,50
"Transition: Homo
Reward: PC",44,0.95,Normalised,50
"Transition: Homo
Reward: PC",44,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",44,0.95,Integral,50
"Transition: Homo
Reward: PC",45,0.95,Normalised,50
"Transition: Homo
Reward: PC",45,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",45,0.95,Integral,50
"Transition: Homo
Reward: PC",46,0.95,Normalised,50
"Transition: Homo
Reward: PC",46,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",46,0.95,Integral,50
"Transition: Homo
Reward: PC",47,0.95,Normalised,50
"Transition: Homo
Reward: PC",47,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",47,0.95,Integral,50
"Transition: Homo
Reward: PC",48,0.95,Normalised,50
"Transition: Homo
Reward: PC",48,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",48,0.95,Integral,50
"Transition: Homo
Reward: PC",49,0.95,Normalised,50
"Transition: Homo
Reward: PC",49,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",49,0.95,Integral,50
"Transition: Homo
Reward: PC",50,0.95,Normalised,50
"Transition: Homo
Reward: PC",50,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",50,0.95,Integral,50
"Transition: Homo
Reward: PC",51,0.95,Normalised,50
"Transition: Homo
Reward: PC",51,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",51,0.95,Integral,50
"Transition: Homo
Reward: PC",52,0.95,Normalised,50
"Transition: Homo
Reward: PC",52,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",52,0.95,Integral,50
"Transition: Homo
Reward: PC",53,0.95,Normalised,50
"Transition: Homo
Reward: PC",53,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",53,0.95,Integral,50
"Transition: Homo
Reward: PC",54,0.95,Normalised,50
"Transition: Homo
Reward: PC",54,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",54,0.95,Integral,50
"Transition: Homo
Reward: PC",55,0.95,Normalised,50
"Transition: Homo
Reward: PC",55,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",55,0.95,Integral,50
"Transition: Homo
Reward: PC",56,0.95,Normalised,50
"Transition: Homo
Reward: PC",56,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",56,0.95,Integral,50
"Transition: Homo
Reward: PC",57,0.95,Normalised,50
"Transition: Homo
Reward: PC",57,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",57,0.95,Integral,50
"Transition: Homo
Reward: PC",58,0.95,Normalised,50
"Transition: Homo
Reward: PC",58,0.95,Unnormalised,50
"Transition: Homo
Reward: PC",58,0.95,Integral,50
